token,label
이,O
랜섬노트에는,O
피해자와,O
‘,O
매니저,O
’,O
가,O
소통하는,O
메신저,O
역할을,O
하는,O
토르,O
(,O
Tor,B-ORG
),O
기반,O
협상,O
포털,O
접속,O
안내가,O
적혀,O
있다,O
.,O
,
온프레미스,O
IPS,B-ORG
",",O
방화벽은,O
물론,O
클라우드,O
환경에서,O
널리,O
사용되는,O
AWS,B-ORG
WAF,B-ORG
",",O
Fastly,B-ORG
등과,O
연동을,O
통해,O
위협,O
탐지부터,O
분석,O
",",O
차단에,O
이르는,O
전체,O
보안,O
운영,O
프로세스를,O
통합하여,O
일관,O
된,O
방식으로,O
수행할,O
수,O
있다,O
.,O
,
[,O
보안뉴스,O
원병철,O
기자,O
],O
모니터랩,O
(,O
대표,O
이광후,O
),O
은,O
고성능,O
애플리케이션,O
프록시,O
기술과,O
다양한,O
보안,O
솔루션,O
개발,O
·,O
운영,O
역량을,O
바탕으로,O
국내,O
1위,O
웹,O
방화벽,O
기업으로,O
자리매김했으며,O
",",O
최근에는,O
클라우드,O
딜리버리,O
영역으로,O
사업을,O
확장해,O
클라우드,O
네트워크,O
보안,O
플랫폼,O
AIONCLOUD를,O
중심으로,O
국내,O
대표,O
‘,O
SSE,B-ORG
(,O
Security,B-ORG
Service,B-ORG
Edge,B-ORG
),O
’,O
기업으로,O
성장하고,O
있다,O
.,O
,
구글,O
위협,O
인텔리전스,O
그룹,O
(,O
GTIG,B-ORG
),O
에,O
따르면,O
샤이니헌터스는,O
다국적,O
기업의,O
영어권,O
지사,O
직원들을,O
주요,O
타깃으로,O
삼아,O
IT,O
지원,O
직원을,O
사칭해,O
전화,O
기반,O
사회공학적,O
공격을,B-ATTACK
구사한다,O
.,O
,
엑스게이트는,O
지난해,O
출시한,O
NF,O
-,O
8000,O
모델을,O
시작으로,O
올해,O
NGFW,B-ORG
제품군에,O
총,O
4개의,O
신규,O
라인업을,O
추가하며,O
본격적인,O
시장,O
확대에,O
돌입했다,O
.,O
,
이와,O
관련된,O
세부,O
사항은,O
ISEC,B-ORG
홈페이지를,O
참조하거나,O
ISEC,B-ORG
조직위원회에,B-ORG
문의하면,O
된다,O
.,O
,
[,O
보안뉴스,O
강현주,O
",",O
조재호,O
기자,O
],O
랜섬웨어,B-ATTACK
공격을,B-ATTACK
당한,O
SGI서울보증이,O
서비스를,O
재개함에,O
따라,O
해커와의,O
협상,O
여부에,O
관심이,O
쏠린,O
가운데,O
",",O
사건,O
조사에,O
참여한,O
금융보안원이,B-ORG
랜섬웨어,B-ATTACK
조직에,O
몸값을,O
제공하지,O
않고,O
암호화된,O
‘,O
데이터,O
’,O
를,O
풀어내는데,O
성공한,O
것으로,O
밝혀졌다,O
.,O
,
해당,O
취약점,B-VULN
(,O
CVE,B-VULN
-,I-VULN
2025,I-VULN
-,I-VULN
20265,I-VULN
),O
은,O
위험도를,O
의미하는,O
CVSS,B-ORG
점수가,O
10점,O
만점으로,O
",",O
RADIUS,B-ORG
서버,O
하위,O
시스템의,O
구현,O
결함으로,O
인해,O
영향을,O
받는,O
시스템에서,O
공격자가,O
임의,O
코드를,O
실행할,O
수,O
있는,O
취약점이다,B-VULN
.,O
,
실제로,O
챗GPT,O
출시,O
이후,O
웜GPT,O
(,O
Worm,B-ORG
GPT,B-ORG
),O
나,O
다크바드,O
(,O
Dark,B-ORG
Bard,B-ORG
),O
",",O
프로드GPT,O
(,O
Fraud,B-ORG
GPT,B-ORG
),O
",",O
잔소록스,O
(,O
Xanthorox,B-ORG
),O
같은,O
사이버,O
범죄에,O
특화된,O
생성형,O
AI,O
모델들이,O
쏟아져,O
나오고,O
있다,O
.,O
,
안톤,O
추바킨이,O
2013년,O
7월,O
자신의,O
블로그에서,O
‘,O
Named,B-ORG
:,O
Endpoint,B-ORG
Threat,B-ORG
Detection,B-ORG
and,O
Response,B-ORG
’,O
라는,O
제목의,O
글을,O
통해,O
EDR의,O
개념을,O
처음,O
제시했지만,O
",",O
사실,O
엔드포인트에서,O
발생하는,O
위협을,O
탐지하고,O
분석하려는,O
시도는,O
이전부터,O
있었다,O
.,O
,
NETS,B-ORG
*,O
Identity,B-ORG
Manager,B-ORG
",",O
NETS,B-ORG
*,O
Single,B-ORG
Sign,B-ORG
On,O
",",O
NETS,B-ORG
*,O
O365,O
Manager,B-ORG
등,O
소개,O
,
회사는,O
프롬,O
스크래치,O
방식,O
개발과,O
LLM,B-ORG
관련,O
기술,O
역량을,O
지속,O
고도화한다,O
.,O
,
exe는,O
공격자의,O
C2,O
서버에서,O
받아오는,O
것이,O
아니라,O
문서,O
안에,O
OLE,B-ORG
객체,O
형태로,O
삽입돼,O
있다,O
.,O
,
글로벌,O
사이버,O
보안,O
기업인,O
사이버리즌,O
(,O
Cybereason,B-ORG
),O
과,O
협력해,O
AI,O
기반,O
디지털,O
기술을,O
활용한,O
세계적,O
수준의,O
사이버,O
보안,O
솔루션을,O
국내에,O
공급하고,O
있다,O
.,O
,
임종헌,O
최고법률책임자,O
(,O
CLO,B-ORG
),O
를,O
자율준수,O
관리자로,O
선임하고,O
전담조직을,O
구성,O
",",O
내부,O
체계를,O
정비하고,O
정책을,O
강화했다,O
.,O
,
5월,O
14일,O
",",O
정보보호혁신특별위원회,B-ORG
가동,O
,
APEC,B-ORG
정상회의,B-ORG
대비,O
공항보안,O
책임성,O
강화,O
,
공격에,B-ATTACK
쓰인,O
토큰과,O
이를,O
통해,O
확인된,O
가입자,O
이메일,O
등,O
일부,O
단서도,O
드러났다,O
.,O
,
박상원,B-ORG
금융보안원장은,B-ORG
“,O
이번,O
프로그램을,O
통해,O
CISO의,O
이사회,B-ORG
보고가,O
원활해지고,O
",",O
이사회가,B-ORG
보안을,O
전략적,O
의사,O
결정의,O
핵심,O
요소로,O
다뤄,O
금융사의,B-ORG
건전한,O
내부,O
통제,O
정책,O
수립에,O
기여하기를,O
기대한다,O
”,O
며,O
“,O
금융보안원은,B-ORG
이사회,B-ORG
및,O
사외이사가,B-ORG
금융,O
보안에,O
대한,O
감독과,O
책임을,O
다할,O
수,O
있도록,O
지속,O
지원할,O
것,O
”,O
이라고,O
밝혔다,O
.,O
,
이번,O
일,O
-,O
영,O
번역사업,B-ORG
재수주는,O
글로벌,O
IP번역,O
기업들을,O
제치고,O
두,O
언어권의,O
WIPO,B-ORG
번역사업을,B-ORG
동시에,O
수행하는,O
아시아,O
유일,O
기업으로,O
자리매김했다는,O
점에서,O
의미가,O
크다,O
.,O
,
향후에도,O
자율보안,O
협의체,O
공급기업,B-ORG
대상,O
솔루션,O
지원과,O
함께,O
릴레이,O
캠페인,O
등의,O
활동을,O
협력기업들과,B-ORG
함께,O
진행해,O
나갈,O
예정이다,O
.,O
,
또,O
공격자들은,B-ATTACK
다단계,O
인증,O
(,O
MFA,B-ORG
),O
과,O
싱글,O
사인온,O
(,O
SSO,B-ORG
),O
같은,O
인증,O
수단을,O
우회해,O
권한을,O
획득한,O
뒤,O
민감,O
정보를,O
탈취하고,O
지속적으로,O
유지되는,O
백도어를,O
심으며,O
암호화,O
키도,O
훔치는,O
것으로,O
밝혀졌다,O
.,O
,
북한,O
또는,O
중국,O
추정,O
정부,O
및,O
기업,O
해킹,B-ATTACK
외신,O
보도,O
줄이어,O
,
이번에,O
선보이는,O
제품은,O
세계적인,O
산업용,O
네트워크,O
전문기업,B-ORG
Moxa의,O
PoE,B-ORG
스위치,O
라인업으로,O
",",O
AI,O
·,O
스마트시티,O
·,O
산업,O
자동화,O
등,O
고성능,O
네트워크,O
수요,O
증가에,O
대응한다,O
.,O
,
[,O
보안뉴스,O
엄호식,O
기자,O
],O
행정안전부와,O
하이트진로는,O
7월,O
14일,O
하이트진로,O
서초사옥에서,B-ORG
‘,O
모바일,O
신분증과,O
함께하는,O
책임,O
있는,O
음주문화,O
조성을,O
위한,O
업무협약,O
’,O
을,O
체결했다,O
.,O
,
이번,O
설명회는,B-ORG
나라장터,O
종합쇼핑몰에서,O
관리되는,O
인증,O
정보의,O
전산화를,O
위한,O
개선,O
방안을,O
안내하고,O
",",O
인증기관들의,B-ORG
의견을,O
듣기,O
위해,O
마련됐다,O
.,O
,
해당,O
솔루션은,O
UN,O
산하,O
국제표준화기구,O
ITU,B-ORG
-,O
T에서,O
2024년,O
국제표준으로,O
채택된,O
X,O
.,O
,
△,O
국가안보,O
관점에서의,O
드론,O
무력화,O
법ㆍ제도,O
분석과,O
통합,O
대응전략,O
(,O
국립재난안전연구원,B-ORG
오한길,O
·,O
김구윤,O
),O
,
전문평가제는,O
소프트웨어,O
사업의,O
복잡도와,O
전문성이,O
높아짐에,O
따라,O
",",O
세부,O
전문,O
분야에,O
대한,O
전문평가위원회를,B-ORG
별도로,O
구성하여,O
평가하는,O
제도로,O
일정계획,O
",",O
품질보증,O
등,O
사업관리,O
분야,O
공통평가위원회,B-ORG
(,O
9명,O
이상,O
),O
와는,O
별도로,O
AI,O
분야,O
전문평가위원회,B-ORG
(,O
8명,O
이상,O
),O
가,O
구성된다,O
.,O
,
정부도,O
국민,O
개개인에게,O
돌아갈,O
정부지원금에,B-ORG
눈독을,O
들이는,O
디지털,O
범죄,O
등에,O
대해서는,O
철저한,O
예방책을,O
세워,O
대처해야,O
한다,O
.,O
,
